Puntaje,Tiempo
300,13:54:3
300,13:54:3
300,13:54:3
300,13:54:3
300,13:54:3
300,13:54:3
300,13:54:3
300,13:54:3
300,13:54:3
300,13:54:3
300,13:54:3
300,13:54:3
300,13:54:3
300,13:54:3
300,13:54:3
300,13:54:3
300,13:54:3
300,13:54:3
300,13:54:3
300,13:54:4
300,13:54:4
300,13:54:4
300,13:54:4
300,13:54:4
300,13:54:4
300,13:54:4
300,13:54:4
300,13:54:4
300,13:54:4
300,13:54:4
300,13:54:4
300,13:54:4
300,13:54:4
300,13:54:4
300,13:54:4
300,13:54:4
300,13:54:4
300,13:54:4
300,13:54:4
300,13:54:4
300,13:54:4
300,13:54:4
300,13:54:4
0,13:54:11
0,13:54:11
0,13:54:11
0,13:54:12
0,13:54:12
0,13:54:12
0,13:54:12
0,13:54:12
0,13:54:12
0,13:54:12
0,13:54:12
0,13:54:12
0,13:54:12
0,13:54:12
0,13:54:12
0,13:54:12
0,13:54:12
0,13:54:12
0,13:54:13
0,13:54:13
0,13:54:13
0,13:54:13
0,13:54:13
0,13:54:13
0,13:54:13
0,13:54:13
0,13:54:13
0,13:54:13
0,13:54:13
0,13:54:13
0,13:54:13
0,13:54:13
0,13:54:13
0,13:54:13
0,13:54:13
0,13:54:13
0,13:54:13
0,13:54:13
0,13:54:14
0,13:54:14
0,13:54:14
0,13:54:14
0,13:54:14
0,13:54:14
0,13:54:14
0,13:54:14
0,13:54:14
0,13:54:14
0,13:54:14
0,13:54:14
0,13:54:14
0,13:54:14
0,13:54:14
0,13:54:14
0,13:54:14
0,13:54:14
0,13:54:14
0,13:54:14
0,13:54:14
0,13:54:14
0,13:54:14
0,13:54:14
0,13:54:14
0,13:54:14
0,13:54:14
0,13:54:15
100,13:54:15
100,13:54:15
100,13:54:15
100,13:54:15
100,13:54:15
100,13:54:15
200,13:54:15
200,13:54:15
200,13:54:15
200,13:54:15
200,13:54:15
200,13:54:15
200,13:54:15
200,13:54:15
200,13:54:15
200,13:54:15
200,13:54:15
200,13:54:15
200,13:54:15
200,13:54:15
200,13:54:15
200,13:54:15
200,13:54:15
200,13:54:15
200,13:54:15
200,13:54:15
200,13:54:15
200,13:54:16
200,13:54:16
200,13:54:16
200,13:54:16
200,13:54:16
200,13:54:16
200,13:54:16
200,13:54:16
200,13:54:16
200,13:54:16
200,13:54:16
200,13:54:16
200,13:54:16
200,13:54:16
200,13:54:16
200,13:54:16
200,13:54:16
200,13:54:16
200,13:54:16
200,13:54:16
200,13:54:16
200,13:54:16
200,13:54:16
200,13:54:16
200,13:54:16
200,13:54:16
200,13:54:17
200,13:54:17
200,13:54:17
200,13:54:17
200,13:54:17
200,13:54:17
200,13:54:17
200,13:54:17
300,13:54:17
300,13:54:17
300,13:54:17
300,13:54:17
300,13:54:17
300,13:54:17
400,13:54:17
400,13:54:17
400,13:54:17
400,13:54:17
400,13:54:17
500,13:54:17
500,13:54:17
500,13:54:17
500,13:54:17
500,13:54:17
500,13:54:17
500,13:54:18
500,13:54:18
500,13:54:18
500,13:54:18
500,13:54:18
500,13:54:18
500,13:54:18
500,13:54:18
500,13:54:18
500,13:54:18
500,13:54:18
500,13:54:18
500,13:54:18
500,13:54:18
500,13:54:18
500,13:54:18
500,13:54:18
500,13:54:18
500,13:54:18
500,13:54:18
500,13:54:18
500,13:54:18
500,13:54:18
500,13:54:18
500,13:54:18
500,13:54:18
500,13:54:19
500,13:54:19
500,13:54:19
500,13:54:19
500,13:54:19
500,13:54:19
500,13:54:19
500,13:54:19
500,13:54:19
500,13:54:19
500,13:54:19
500,13:54:19
